id,Balkón / loggia,Cena,Identifikačné číslo:,Kategória,Pivnica,Ulica,Úžitková plocha,Výťah,Lokalita,Poschodie,Stav nehnuteľnosti:,Materiál,Stav,Zastavaná plocha
5624386,Áno,"234 900,00 EUR",NA,NA,Nie,Smaragdová,103 m2,Nie,Jarovce,1 / 1,Novostavba,tehla,vo výstavbe,66 m2
5624669,Áno,"117 900,00 EUR",NA,3 izbový byt / Predaj,Áno,Púpavová,67 m2,Áno,Karlova Ves,1 / 8,NA,panel,čiastočná rekonštrukcia,NA
5625066,Nie,"99 000,00 EUR",5321075,3 izbový byt / Predaj,Nie,Čiernovodská,66 m2,Áno,Vrakuňa,1 / 12,NA,panel,čiastočná rekonštrukcia,NA
5625392,Áno,"113 000,00 EUR",116251,3 izbový byt / Predaj,Áno,"Rybničná, zariadený",63 m2,Áno,Vajnory,5 / 9,NA,panel,NA,63 m2
5626847,Nie,"189 980,00 EUR",24349,2 izbový byt / Predaj,Nie,Bratislava-Staré Mesto,60 m2,NA,Staré Mesto,NA,NA,NA,NA,NA
5627052,Áno,"173 500,00 EUR",116270,2 izbový byt / Predaj,Áno,Tupého,71 m2,Áno,Nové Mesto,2 / 4,NA,tehla,NA,71 m2
5627736,Áno,"334 373,00 EUR",A.01.04,4 izbový byt / Predaj,Áno,Pod Vachmajstrom,110 m2,Áno,"Nové Mesto, časť Koliba",1 / 3,Novostavba,iný,vo výstavbe,NA
5627741,Áno,"405 353,00 EUR",A.01.06,4 izbový byt / Predaj,Áno,Pod Vachmajstrom,140 m2,Áno,"Nové Mesto, časť Koliba",1 / 3,Novostavba,iný,vo výstavbe,NA
5627759,Áno,"198 238,00 EUR",A.02.03,2 izbový byt / Predaj,Áno,Pod Vachmajstrom,64 m2,Áno,"Nové Mesto, časť Koliba",2 / 3,Novostavba,iný,vo výstavbe,NA
5627769,Áno,"342 046,00 EUR",A.02.04,4 izbový byt / Predaj,Áno,Strážna,110 m2,Áno,"Nové Mesto, časť Koliba",2 / 3,Novostavba,iný,vo výstavbe,NA
